,Symbol,PP,R1,S1,R2,S2,R3,S3,TC,BC,PDL,PDH,RB_Candidate
8,NSE:INDIGO-EQ,2587.02,2601.25,2572.79,2610.04,2564.0,2624.27,2549.77,2584.29,2584.21,2571.7,2608.95,True
14,NSE:JSWSTEEL-EQ,753.27,757.41,749.12,759.97,746.56,764.12,742.42,753.47,754.64,749.05,759.9,True
15,NSE:GRASIM-EQ,1936.52,1942.07,1930.96,1945.51,1927.52,1951.07,1921.97,1936.39,1936.87,1930.0,1944.55,True
18,NSE:HDFCBANK-EQ,1487.25,1490.73,1483.77,1492.87,1481.63,1496.35,1478.15,1486.68,1486.75,1483.5,1492.6,True
22,NSE:HINDALCO-EQ,485.47,487.62,483.31,488.96,481.97,491.12,479.82,485.93,486.8,483.15,488.8,True
25,NSE:DLF-EQ,601.08,604.39,597.78,606.43,595.74,609.73,592.43,600.37,599.81,596.95,605.6,True
34,NSE:BAJAJFINSV-EQ,1580.08,1587.72,1572.44,1592.44,1567.72,1600.08,1560.08,1579.5,1578.05,1569.0,1589.0,True
38,NSE:SBICARD-EQ,750.93,752.98,748.89,754.24,747.63,756.28,745.58,750.61,750.56,748.6,753.95,True
40,NSE:VBL-EQ,1004.75,1011.74,997.76,1016.06,993.44,1023.05,986.45,1006.36,1008.85,996.7,1015.0,True
46,NSE:ICICIGI-EQ,1360.2,1366.08,1354.32,1369.72,1350.68,1375.6,1344.8,1360.97,1362.94,1354.0,1369.4,True
49,NSE:HAL-EQ,2035.52,2044.59,2026.44,2050.19,2020.84,2059.27,2011.77,2036.47,2039.31,2026.0,2049.75,True
50,NSE:ASIANPAINT-EQ,3088.55,3102.82,3074.28,3111.63,3065.47,3125.9,3051.2,3089.17,3093.13,3074.05,3111.4,True
76,NSE:MARICO-EQ,519.85,521.8,517.9,523.0,516.7,524.95,514.75,520.4,520.71,517.0,522.1,True
79,NSE:BANKBARODA-EQ,193.32,194.02,192.61,194.46,192.17,195.17,191.47,193.25,193.31,192.55,194.4,True
81,NSE:GAIL-EQ,124.15,124.8,123.5,125.2,123.1,125.85,122.45,124.32,124.49,123.3,125.0,True
83,NSE:ZOMATO-EQ,122.92,124.52,121.31,125.51,120.32,127.12,118.72,123.17,123.85,121.35,125.55,True
91,NSE:CIPLA-EQ,1238.38,1243.35,1233.42,1246.42,1230.35,1251.38,1225.38,1239.06,1239.83,1232.0,1245.0,True
